chr,corr,R^2,MSE
chr1,0.8714338441340477,0.7223328812825245,0.008402592695627016
chr2,0.8130868237748448,0.30811803638465673,0.009735278548190698
chr3,0.843979201061655,0.6853767131123247,0.00898160027282081
chr4,0.8083533811240258,0.6189494601017103,0.01192502650397367
chr5,0.8102845136613097,0.6436437563161936,0.00832121048675905
chr6,0.7564401304424597,0.5708430873932981,0.010992357051179288
chr7,0.8625623160522906,0.6764514485394566,0.01174822010219466
chr8,0.8588410250901709,0.688144071460244,0.0090908424476457
chr9,0.9259041197222669,0.7264422897106662,0.011624493894067533
chr10,0.6060175881340488,0.31054481657745914,0.05130765090862833
chr11,0.8554634655571725,0.6689797642161659,0.01129269277277559
chr12,0.9344957902837481,0.6526860817045432,0.021774016995676708
