chr,corr,R^2,MSE
chr1,0.6665905603738644,0.4123387454268792,0.022546952003202555
chr2,0.6654109555536617,-0.636767599685405,0.0342883412971398
chr3,0.6575822236391908,0.4110040265468947,0.02245103440521851
chr4,0.6378904271346334,0.3959850192106421,0.026004568700509732
chr5,0.7310060023344869,0.49016014774874583,0.016743710325198415
chr6,0.6664448061115034,0.2470504278365061,0.02750697055446195
chr7,0.6147722473860965,0.3562965056882834,0.03324543734959749
chr8,0.8293632023844052,0.670294181450847,0.012757414661541119
chr9,0.7750765206458754,0.547787609046548,0.025140277042202005
chr10,0.7166893912731659,0.5030394574202133,0.020364169021581995
chr11,0.5756123582015985,0.3162284725713155,0.03337155170541124
chr12,0.7346350593003077,0.39199008685093917,0.04720609809449629
