chr,corr,R^2,MSE
chr1,0.8220218155577771,0.6748276125387129,0.012475973455459739
chr2,0.7601189241085132,0.37613654815527364,0.013069199905823664
chr3,0.8726664408938578,0.7410729550750065,0.009869643012959277
chr4,0.8039473015309374,0.6077977350965593,0.016885426796614207
chr5,0.7780700151487886,0.5399082357094116,0.015109927539549513
chr6,0.6726641397033841,0.4289175993066028,0.020862946684341504
chr7,0.8166454621244978,0.6661541651339125,0.017242178868909344
chr8,0.8941969089424374,0.796756444138101,0.007851328474627202
chr9,0.9118572855756427,0.7975463447533567,0.011255200173475501
chr10,0.8561728328891163,0.7278610131110116,0.011151558024306727
chr11,0.8016332211675661,0.6161020060775038,0.018368496148903124
chr12,0.9398244555079314,0.821274460227854,0.01387631217849454
