chr,corr,R^2,MSE
chr1,0.834289104542403,0.6951992605806019,0.011694369143362872
chr2,0.7136862608635163,0.20238078533730586,0.01670917719948006
chr3,0.8893862219700217,0.7681589851408454,0.008837192163857931
chr4,0.7997775029083056,0.5890000416415033,0.017694721145943594
chr5,0.7678385300218151,0.45132059356620036,0.018019244674898304
chr6,0.6183642675851055,0.30440793190637006,0.02541156970179423
chr7,0.8089342485739393,0.6513479005763478,0.01800687992316789
chr8,0.863226724421797,0.7440540369286359,0.009903400541176981
chr9,0.8949851263198493,0.784273608085433,0.011993084149268954
chr10,0.8381926774180319,0.7004267448579726,0.012275744006534103
chr11,0.7709665608758549,0.5328097485140046,0.022801276461975904
chr12,0.9036487371066465,0.7860899620680861,0.01660804867754802
