chr,corr,R^2,MSE
chr1,0.8239449061992524,0.6722736475770039,0.012573962092555346
chr2,0.7147021345803688,0.24720111432574499,0.015770244428754958
chr3,0.8535983395689286,0.7090992441017893,0.01108839987629353
chr4,0.7764801850499566,0.5201277131473951,0.0206598714399786
chr5,0.7204541299750596,0.39868200687883215,0.019747954667907623
chr6,0.619414269120978,0.292702093739274,0.025839210751980913
chr7,0.7768894431008233,0.6009939511952712,0.020607516837906657
chr8,0.8272774494761195,0.6759239658777134,0.012539579578421662
chr9,0.8960002487962965,0.7801174105032721,0.012224143626514484
chr10,0.8223185820779056,0.6726050301631036,0.01341580655068585
chr11,0.80825458134503,0.594918019651344,0.0197700748128116
chr12,0.890450354794978,0.766480012218542,0.018130571906538183
