cross,reference,chr,start,end,crossovers,gene,mRNA,exon,CDS
lycopersicum_pimpinellifolium,lycopersicum,chr1,0,100000,0,15,15,84,81
lycopersicum_pimpinellifolium,lycopersicum,chr1,100000,200000,0,12,12,49,44
lycopersicum_pimpinellifolium,lycopersicum,chr1,200000,300000,1,16,16,105,104
lycopersicum_pimpinellifolium,lycopersicum,chr1,300000,400000,1,15,15,67,63
lycopersicum_pimpinellifolium,lycopersicum,chr1,400000,500000,1,17,17,70,64
lycopersicum_pimpinellifolium,lycopersicum,chr1,500000,600000,0,20,20,59,53
lycopersicum_pimpinellifolium,lycopersicum,chr1,600000,700000,0,13,13,64,62
lycopersicum_pimpinellifolium,lycopersicum,chr1,700000,800000,0,10,10,84,75
lycopersicum_pimpinellifolium,lycopersicum,chr1,800000,900000,0,16,16,79,69
lycopersicum_pimpinellifolium,lycopersicum,chr1,900000,1000000,1,7,7,96,94
lycopersicum_pimpinellifolium,lycopersicum,chr1,1000000,1100000,0,12,12,77,72
lycopersicum_pimpinellifolium,lycopersicum,chr1,1100000,1200000,2,7,7,34,26
lycopersicum_pimpinellifolium,lycopersicum,chr1,1200000,1300000,1,14,14,76,71
lycopersicum_pimpinellifolium,lycopersicum,chr1,1300000,1400000,0,11,11,70,58
lycopersicum_pimpinellifolium,lycopersicum,chr1,1400000,1500000,0,11,11,70,65
lycopersicum_pimpinellifolium,lycopersicum,chr1,1500000,1600000,1,13,13,74,72
lycopersicum_pimpinellifolium,lycopersicum,chr1,1600000,1700000,1,9,9,55,51
lycopersicum_pimpinellifolium,lycopersicum,chr1,1700000,1800000,2,7,7,37,33
lycopersicum_pimpinellifolium,lycopersicum,chr1,1800000,1900000,3,13,13,66,65
lycopersicum_pimpinellifolium,lycopersicum,chr1,1900000,2000000,1,8,8,24,23
lycopersicum_pimpinellifolium,lycopersicum,chr1,2000000,2100000,1,8,8,62,62
lycopersicum_pimpinellifolium,lycopersicum,chr1,2100000,2200000,0,17,17,89,84
lycopersicum_pimpinellifolium,lycopersicum,chr1,2200000,2300000,0,9,9,42,41
lycopersicum_pimpinellifolium,lycopersicum,chr1,2300000,2400000,0,11,11,79,74
lycopersicum_pimpinellifolium,lycopersicum,chr1,2400000,2500000,1,12,12,80,75
lycopersicum_pimpinellifolium,lycopersicum,chr1,2500000,2600000,1,17,17,62,55
lycopersicum_pimpinellifolium,lycopersicum,chr1,2600000,2700000,1,14,14,58,57
lycopersicum_pimpinellifolium,lycopersicum,chr1,2700000,2800000,1,11,11,84,78
lycopersicum_pimpinellifolium,lycopersicum,chr1,2800000,2900000,0,11,11,73,72
lycopersicum_pimpinellifolium,lycopersicum,chr1,2900000,3000000,1,12,12,76,74
lycopersicum_pimpinellifolium,lycopersicum,chr1,3000000,3100000,2,6,6,48,47
lycopersicum_pimpinellifolium,lycopersicum,chr1,3100000,3200000,1,11,11,37,37
lycopersicum_pimpinellifolium,lycopersicum,chr1,3200000,3300000,0,8,8,70,70
lycopersicum_pimpinellifolium,lycopersicum,chr1,3300000,3400000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,3400000,3500000,1,6,6,23,23
lycopersicum_pimpinellifolium,lycopersicum,chr1,3500000,3600000,1,7,7,44,44
lycopersicum_pimpinellifolium,lycopersicum,chr1,3600000,3700000,2,8,8,41,38
lycopersicum_pimpinellifolium,lycopersicum,chr1,3700000,3800000,1,10,10,35,34
lycopersicum_pimpinellifolium,lycopersicum,chr1,3800000,3900000,0,7,7,40,39
lycopersicum_pimpinellifolium,lycopersicum,chr1,3900000,4000000,0,5,5,10,10
lycopersicum_pimpinellifolium,lycopersicum,chr1,4000000,4100000,0,5,5,39,37
lycopersicum_pimpinellifolium,lycopersicum,chr1,4100000,4200000,0,2,2,9,9
lycopersicum_pimpinellifolium,lycopersicum,chr1,4200000,4300000,0,4,4,20,20
lycopersicum_pimpinellifolium,lycopersicum,chr1,4300000,4400000,1,4,4,20,20
lycopersicum_pimpinellifolium,lycopersicum,chr1,4400000,4500000,0,5,5,12,11
lycopersicum_pimpinellifolium,lycopersicum,chr1,4500000,4600000,1,6,6,41,41
lycopersicum_pimpinellifolium,lycopersicum,chr1,4600000,4700000,0,5,5,24,24
lycopersicum_pimpinellifolium,lycopersicum,chr1,4700000,4800000,0,5,5,14,10
lycopersicum_pimpinellifolium,lycopersicum,chr1,4800000,4900000,0,5,5,32,29
lycopersicum_pimpinellifolium,lycopersicum,chr1,4900000,5000000,0,6,6,21,20
lycopersicum_pimpinellifolium,lycopersicum,chr1,5000000,5100000,0,9,9,23,20
lycopersicum_pimpinellifolium,lycopersicum,chr1,5100000,5200000,0,5,5,31,31
lycopersicum_pimpinellifolium,lycopersicum,chr1,5200000,5300000,0,3,3,25,22
lycopersicum_pimpinellifolium,lycopersicum,chr1,5300000,5400000,0,10,10,34,34
lycopersicum_pimpinellifolium,lycopersicum,chr1,5400000,5500000,0,4,4,17,15
lycopersicum_pimpinellifolium,lycopersicum,chr1,5500000,5600000,0,5,5,17,15
lycopersicum_pimpinellifolium,lycopersicum,chr1,5600000,5700000,0,6,6,25,25
lycopersicum_pimpinellifolium,lycopersicum,chr1,5700000,5800000,0,7,7,40,39
lycopersicum_pimpinellifolium,lycopersicum,chr1,5800000,5900000,1,5,5,22,22
lycopersicum_pimpinellifolium,lycopersicum,chr1,5900000,6000000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,6000000,6100000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,6100000,6200000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,6200000,6300000,0,3,3,19,18
lycopersicum_pimpinellifolium,lycopersicum,chr1,6300000,6400000,1,6,6,29,26
lycopersicum_pimpinellifolium,lycopersicum,chr1,6400000,6500000,0,3,3,11,11
lycopersicum_pimpinellifolium,lycopersicum,chr1,6500000,6600000,0,2,2,15,15
lycopersicum_pimpinellifolium,lycopersicum,chr1,6600000,6700000,0,2,2,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,6700000,6800000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,6800000,6900000,0,2,2,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,6900000,7000000,0,2,2,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,7000000,7100000,0,4,4,16,15
lycopersicum_pimpinellifolium,lycopersicum,chr1,7100000,7200000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,7200000,7300000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7300000,7400000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7400000,7500000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7500000,7600000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,7600000,7700000,0,3,3,29,29
lycopersicum_pimpinellifolium,lycopersicum,chr1,7700000,7800000,0,3,3,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,7800000,7900000,0,1,1,5,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,7900000,8000000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,8000000,8100000,0,2,2,12,12
lycopersicum_pimpinellifolium,lycopersicum,chr1,8100000,8200000,0,6,6,17,17
lycopersicum_pimpinellifolium,lycopersicum,chr1,8200000,8300000,1,2,2,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,8300000,8400000,0,2,2,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,8400000,8500000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,8500000,8600000,0,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,8600000,8700000,0,3,3,15,15
lycopersicum_pimpinellifolium,lycopersicum,chr1,8700000,8800000,0,9,9,28,26
lycopersicum_pimpinellifolium,lycopersicum,chr1,8800000,8900000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,8900000,9000000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,9000000,9100000,0,2,2,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,9100000,9200000,0,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,9200000,9300000,0,2,2,9,9
lycopersicum_pimpinellifolium,lycopersicum,chr1,9300000,9400000,0,3,3,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,9400000,9500000,0,4,4,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,9500000,9600000,0,3,3,15,14
lycopersicum_pimpinellifolium,lycopersicum,chr1,9600000,9700000,0,4,4,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,9700000,9800000,0,5,5,9,9
lycopersicum_pimpinellifolium,lycopersicum,chr1,9800000,9900000,0,3,3,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,9900000,10000000,0,3,3,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,10000000,10100000,0,2,2,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,10100000,10200000,0,5,5,9,9
lycopersicum_pimpinellifolium,lycopersicum,chr1,10200000,10300000,0,5,5,7,7
lycopersicum_pimpinellifolium,lycopersicum,chr1,10300000,10400000,0,5,5,17,17
lycopersicum_pimpinellifolium,lycopersicum,chr1,10400000,10500000,0,3,3,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,10500000,10600000,0,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,10600000,10700000,0,2,2,3,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,10700000,10800000,0,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,10800000,10900000,0,3,3,8,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,10900000,11000000,0,2,2,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,11000000,11100000,0,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,11100000,11200000,0,5,5,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,11200000,11300000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,11300000,11400000,0,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,11400000,11500000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,11500000,11600000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,11600000,11700000,0,2,2,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,11700000,11800000,0,5,5,11,10
lycopersicum_pimpinellifolium,lycopersicum,chr1,11800000,11900000,0,2,2,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,11900000,12000000,0,6,6,18,17
lycopersicum_pimpinellifolium,lycopersicum,chr1,12000000,12100000,0,5,5,10,10
lycopersicum_pimpinellifolium,lycopersicum,chr1,12100000,12200000,0,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,12200000,12300000,0,2,2,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,12300000,12400000,0,1,1,4,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,12400000,12500000,0,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,12500000,12600000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,12600000,12700000,0,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,12700000,12800000,0,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,12800000,12900000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,12900000,13000000,0,2,2,10,10
lycopersicum_pimpinellifolium,lycopersicum,chr1,13000000,13100000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,13100000,13200000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,13200000,13300000,0,1,1,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,13300000,13400000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,13400000,13500000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,13500000,13600000,0,3,3,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,13600000,13700000,0,2,2,5,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,13700000,13800000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,13800000,13900000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,13900000,14000000,0,2,2,4,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,14000000,14100000,0,5,5,24,24
lycopersicum_pimpinellifolium,lycopersicum,chr1,14100000,14200000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,14200000,14300000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,14300000,14400000,0,4,4,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,14400000,14500000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,14500000,14600000,1,6,6,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,14600000,14700000,0,2,2,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,14700000,14800000,0,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,14800000,14900000,0,3,3,6,5
lycopersicum_pimpinellifolium,lycopersicum,chr1,14900000,15000000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,15000000,15100000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,15100000,15200000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,15200000,15300000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,15300000,15400000,1,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,15400000,15500000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,15500000,15600000,0,1,1,3,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,15600000,15700000,0,4,4,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,15700000,15800000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,15800000,15900000,0,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,15900000,16000000,1,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,16000000,16100000,0,2,2,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,16100000,16200000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,16200000,16300000,0,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,16300000,16400000,0,3,3,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,16400000,16500000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,16500000,16600000,0,2,2,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,16600000,16700000,0,4,4,13,11
lycopersicum_pimpinellifolium,lycopersicum,chr1,16700000,16800000,0,3,3,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,16800000,16900000,0,3,3,10,9
lycopersicum_pimpinellifolium,lycopersicum,chr1,16900000,17000000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,17000000,17100000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,17100000,17200000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,17200000,17300000,1,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,17300000,17400000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,17400000,17500000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,17500000,17600000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,17600000,17700000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,17700000,17800000,1,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,17800000,17900000,0,1,1,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,17900000,18000000,0,1,1,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,18000000,18100000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,18100000,18200000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,18200000,18300000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,18300000,18400000,1,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,18400000,18500000,1,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,18500000,18600000,0,2,2,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,18600000,18700000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,18700000,18800000,0,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,18800000,18900000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,18900000,19000000,0,1,1,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,19000000,19100000,0,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,19100000,19200000,0,1,1,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,19200000,19300000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,19300000,19400000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,19400000,19500000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,19500000,19600000,0,5,5,11,11
lycopersicum_pimpinellifolium,lycopersicum,chr1,19600000,19700000,0,3,3,10,9
lycopersicum_pimpinellifolium,lycopersicum,chr1,19700000,19800000,0,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,19800000,19900000,1,1,1,1,1
lycopersicum_pimpinellifolium,lycopersicum,chr1,19900000,20000000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,20000000,20100000,0,1,1,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,20100000,20200000,0,1,1,4,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,20200000,20300000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,20300000,20400000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,20400000,20500000,0,4,4,8,8
lycopersicum_pimpinellifolium,lycopersicum,chr1,20500000,20600000,0,4,4,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,20600000,20700000,0,3,3,4,4
lycopersicum_pimpinellifolium,lycopersicum,chr1,20700000,20800000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,20800000,20900000,0,3,3,6,6
lycopersicum_pimpinellifolium,lycopersicum,chr1,20900000,21000000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,21000000,21100000,0,4,4,11,11
lycopersicum_pimpinellifolium,lycopersicum,chr1,21100000,21200000,0,0,0,0,0
lycopersicum_pimpinellifolium,lycopersicum,chr1,21200000,21300000,1,1,1,3,3
lycopersicum_pimpinellifolium,lycopersicum,chr1,21300000,21400000,0,2,2,2,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,21400000,21500000,0,1,1,3,2
lycopersicum_pimpinellifolium,lycopersicum,chr1,21500000,21600000,0,0,0,0,0
