chr,corr,R^2,MSE
chr1,0.8336448877659238,0.6907074723039757,0.010967170395427208
chr2,0.7261809709846925,0.16205698675066804,0.01686850818295247
chr3,0.840489379075539,0.6484216927521377,0.011569118922394489
chr4,0.7572673068512427,0.45794956807994436,0.020645110102467445
chr5,0.7546585031878829,0.44374325946253956,0.017346065375287163
chr6,0.5022751257781478,-0.018375338942103303,0.03190803069530859
chr7,0.7950094998049586,0.6235176939175838,0.01809127584101366
chr8,0.6111903558046031,0.161551991791827,0.028634311867734585
chr9,0.8988570638885423,0.785233397918372,0.009838750822209424
chr10,0.8604143835740534,0.7174064811191302,0.01068830692936035
chr11,0.4692117972810942,-0.4158283470717814,0.058990213391798
chr12,0.9312059245401616,0.8094007663599667,0.014136434683375488
